geoid,median_income,no_vehicle,commuters_total,commuters_transit,transit_share
36005000100,,0.0,0.0,0.0,
36005000200,115064.0,301.0,2312.0,843.0,0.36461937716262977
36005000400,100553.0,600.0,3140.0,959.0,0.3054140127388535
36005001600,41362.0,1193.0,2391.0,1058.0,0.44249268088665833
36005001901,49500.0,699.0,1111.0,614.0,0.5526552655265526
36005001902,67375.0,255.0,812.0,426.0,0.5246305418719212
36005001903,,0.0,0.0,0.0,
36005001904,,0.0,0.0,0.0,
36005002001,24684.0,1363.0,1254.0,809.0,0.6451355661881978
36005002002,,1211.0,1379.0,770.0,0.5583756345177665
36005002300,19743.0,1659.0,1161.0,745.0,0.6416881998277347
36005002400,,0.0,0.0,0.0,
36005002500,27378.0,1606.0,1989.0,1192.0,0.5992961287078934
36005002701,21427.0,906.0,955.0,708.0,0.7413612565445026
36005002702,29206.0,1087.0,1671.0,1269.0,0.7594254937163375
36005002800,64308.0,825.0,2630.0,1149.0,0.43688212927756653
36005003100,41370.0,798.0,1080.0,762.0,0.7055555555555556
36005003300,24122.0,829.0,846.0,413.0,0.48817966903073284
36005003500,34185.0,982.0,1347.0,865.0,0.6421677802524127
36005003700,,163.0,132.0,45.0,0.3409090909090909
36005003800,88077.0,85.0,497.0,228.0,0.45875251509054327
36005003900,20640.0,1654.0,2278.0,1347.0,0.5913081650570676
36005004001,70536.0,168.0,576.0,292.0,0.5069444444444444
36005004100,27328.0,1579.0,2469.0,1569.0,0.6354799513973268
36005004200,52423.0,1099.0,3380.0,1507.0,0.44585798816568045
36005004300,34890.0,1655.0,1956.0,1308.0,0.6687116564417178
36005004400,17319.0,1134.0,1128.0,594.0,0.526595744680851
36005004600,17083.0,368.0,486.0,222.0,0.4567901234567901
36005004800,34436.0,1124.0,1555.0,1002.0,0.6443729903536978
36005005001,34087.0,928.0,1371.0,855.0,0.6236323851203501
36005005002,36598.0,1526.0,1914.0,1313.0,0.6859979101358412
36005005100,22850.0,2023.0,1470.0,870.0,0.5918367346938775
36005005200,29657.0,577.0,716.0,417.0,0.5824022346368715
36005005300,26437.0,1255.0,1490.0,922.0,0.6187919463087248
36005005400,48750.0,1179.0,1902.0,1230.0,0.6466876971608833
36005005600,39572.0,567.0,871.0,514.0,0.5901262916188289
36005005902,48456.0,879.0,1190.0,706.0,0.5932773109243697
36005006000,47375.0,188.0,482.0,252.0,0.5228215767634855
36005006100,66430.0,1175.0,1949.0,1211.0,0.6213442791174961
36005006200,30236.0,1800.0,2078.0,1343.0,0.6462945139557267
36005006301,55396.0,1659.0,3249.0,1923.0,0.5918744228993537
36005006302,,0.0,0.0,0.0,
36005006400,24730.0,878.0,1234.0,711.0,0.5761750405186385
36005006500,22985.0,1846.0,1602.0,1066.0,0.66541822721598
36005006700,17390.0,2228.0,2311.0,1772.0,0.7667676330592818
36005006800,29844.0,670.0,652.0,429.0,0.6579754601226994
36005006900,29627.0,2050.0,2137.0,1461.0,0.683668694431446
36005007000,57905.0,679.0,1237.0,774.0,0.6257073565076798
36005007100,44792.0,739.0,1278.0,767.0,0.6001564945226917
36005007200,63449.0,694.0,2394.0,1033.0,0.4314954051796157
36005007300,28166.0,1189.0,1415.0,897.0,0.6339222614840989
36005007400,53166.0,404.0,1301.0,673.0,0.5172943889315911
36005007500,34484.0,1762.0,2399.0,1403.0,0.5848270112546895
36005007600,53784.0,1023.0,2013.0,1252.0,0.6219572776949827
36005007700,48846.0,281.0,980.0,508.0,0.5183673469387755
36005007800,61328.0,673.0,2422.0,1072.0,0.4426094137076796
36005007900,34604.0,1931.0,2318.0,1434.0,0.6186367558239861
36005008300,50920.0,1603.0,2628.0,1597.0,0.6076864535768646
36005008400,67724.0,400.0,1204.0,729.0,0.6054817275747508
36005008500,34543.0,1535.0,1856.0,1158.0,0.6239224137931034
36005008600,23987.0,1226.0,1183.0,459.0,0.3879966187658495
36005008700,36402.0,1437.0,2417.0,1623.0,0.6714935870914357
36005008900,41484.0,1029.0,1239.0,675.0,0.5447941888619855
36005009000,33831.0,693.0,1132.0,386.0,0.3409893992932862
36005009200,56208.0,841.0,2454.0,948.0,0.3863080684596577
36005009301,47185.0,1286.0,2135.0,1278.0,0.5985948477751757
36005009302,,0.0,0.0,0.0,
36005009600,53333.0,452.0,921.0,361.0,0.3919652551574376
36005009800,56128.0,360.0,1519.0,608.0,0.40026333113890716
36005011000,,0.0,0.0,0.0,
36005011502,28592.0,1046.0,1501.0,1051.0,0.7001998667554963
36005011701,33967.0,348.0,581.0,315.0,0.5421686746987951
36005011702,,0.0,0.0,0.0,
36005011800,109396.0,78.0,2322.0,401.0,0.1726959517657192
36005011900,34335.0,1487.0,2335.0,1418.0,0.6072805139186296
36005012101,55000.0,627.0,1411.0,774.0,0.5485471296952515
36005012102,43472.0,366.0,483.0,338.0,0.6997929606625258
36005012300,47402.0,862.0,2458.0,1173.0,0.4772172497965826
36005012500,51875.0,749.0,1635.0,911.0,0.5571865443425077
36005012701,44667.0,424.0,963.0,558.0,0.5794392523364486
36005012901,40575.0,1328.0,1588.0,907.0,0.5711586901763224
36005013000,59083.0,138.0,599.0,80.0,0.1335559265442404
36005013100,17410.0,1582.0,1796.0,1045.0,0.5818485523385301
36005013200,104651.0,471.0,3418.0,941.0,0.27530719719133995
36005013300,34055.0,1576.0,2237.0,946.0,0.4228877961555655
36005013500,27602.0,994.0,1067.0,519.0,0.48641049671977504
36005013800,84042.0,257.0,1317.0,226.0,0.1716021260440395
36005014100,35506.0,2224.0,2812.0,1647.0,0.5857041251778093
36005014300,16678.0,513.0,572.0,318.0,0.5559440559440559
36005014400,29213.0,1726.0,1857.0,873.0,0.4701130856219709
36005014500,27352.0,2146.0,1890.0,1252.0,0.6624338624338625
36005014701,25858.0,1709.0,1768.0,1038.0,0.5871040723981901
36005014702,21196.0,1504.0,1316.0,880.0,0.668693009118541
36005014900,41311.0,1095.0,1643.0,708.0,0.4309190505173463
36005015100,28618.0,1461.0,1752.0,881.0,0.5028538812785388
36005015200,77238.0,183.0,1221.0,355.0,0.29074529074529076
36005015300,38862.0,1278.0,1405.0,849.0,0.604270462633452
36005015500,37168.0,787.0,995.0,712.0,0.7155778894472362
36005015700,39776.0,1538.0,2104.0,1533.0,0.7286121673003803
36005015800,70357.0,188.0,678.0,218.0,0.3215339233038348
36005015900,24485.0,373.0,937.0,349.0,0.37246531483457845
36005016000,96838.0,180.0,1929.0,457.0,0.23691031622602385
36005016100,22286.0,1511.0,1567.0,960.0,0.612635609444799
36005016200,115278.0,77.0,826.0,290.0,0.35108958837772397
36005016300,,0.0,0.0,0.0,
36005016400,66912.0,116.0,365.0,108.0,0.2958904109589041
