Line,Date,OnTimeRate,AddedJourneyMin,Passengers,TerminalOTP,ServiceAreaIncome,IncomeBracket,Modernized,CBTCActivation
1,2015-01-01,0.8877,2.197,5170117,0.7623,119004.0,High,No,
1,2015-02-01,0.8493,2.392,5960062,0.7072,119004.0,High,No,
1,2015-03-01,0.8743,2.113,7678262,0.7488,119004.0,High,No,
1,2015-04-01,0.914,1.637,6880455,0.7743,119004.0,High,No,
1,2015-05-01,0.9084,1.688,6373169,0.7866,119004.0,High,No,
1,2015-06-01,0.9148,1.635,6566204,0.8068,119004.0,High,No,
1,2015-07-01,0.8809,2.067,6894910,0.7343,119004.0,High,No,
1,2015-08-01,0.8802,2.271,6565113,0.7993,119004.0,High,No,
1,2015-09-01,0.9066,1.664,5919837,0.7867,119004.0,High,No,
1,2015-10-01,0.8787,1.954,7699298,0.7243,119004.0,High,No,
1,2015-11-01,0.8942,1.831,6570632,0.7532,119004.0,High,No,
1,2015-12-01,0.8944,1.816,7693221,0.7639,119004.0,High,No,
1,2016-01-01,0.8979,1.798,5268512,0.7714,119004.0,High,No,
1,2016-02-01,0.9004,1.755,6402584,0.7548,119004.0,High,No,
1,2016-03-01,0.8753,2.307,7326367,0.6776,119004.0,High,No,
1,2016-04-01,0.8906,1.94,6954485,0.7228,119004.0,High,No,
1,2016-05-01,0.9005,1.731,7247629,0.7704,119004.0,High,No,
1,2016-06-01,0.901,1.839,5863872,0.7264,119004.0,High,No,
1,2016-07-01,0.9023,1.878,6021600,0.7611,119004.0,High,No,
1,2016-08-01,0.9036,1.691,7291007,0.7527,119004.0,High,No,
1,2016-09-01,0.8537,2.259,5885094,0.6346,119004.0,High,No,
1,2016-10-01,0.8599,2.188,7438242,0.6484,119004.0,High,No,
1,2016-11-01,0.8488,2.598,7705044,0.6803,119004.0,High,No,
1,2016-12-01,0.8642,2.422,7361286,0.6813,119004.0,High,No,
1,2017-01-01,0.8898,1.908,6871638,0.7278,119004.0,High,No,
1,2017-02-01,0.8541,2.48,6461959,0.6002,119004.0,High,No,
1,2017-03-01,0.8571,2.205,7218213,0.6983,119004.0,High,No,
1,2017-04-01,0.9001,1.748,6223440,0.7056,119004.0,High,No,
1,2017-05-01,0.8699,2.238,7575436,0.7063,119004.0,High,No,
1,2017-06-01,0.876,1.959,7523056,0.6493,119004.0,High,No,
1,2017-07-01,0.8823,2.088,6576340,0.6635,119004.0,High,No,
1,2017-08-01,0.8927,1.992,7551502,0.7382,119004.0,High,No,
1,2017-09-01,0.8661,2.944,5834696,0.7045,119004.0,High,No,
1,2017-10-01,0.8934,1.896,7828868,0.7193,119004.0,High,No,
1,2017-11-01,0.8886,1.865,7703633,0.6957,119004.0,High,No,
1,2017-12-01,0.8882,1.857,6757834,0.7069,119004.0,High,No,
1,2018-01-01,0.8563,2.139,7449363,0.6746,119004.0,High,No,
1,2018-02-01,0.8748,1.983,6570878,0.6799,119004.0,High,No,
1,2018-03-01,0.8884,1.814,7696445,0.7442,119004.0,High,No,
1,2018-04-01,0.889,1.835,6949891,0.724,119004.0,High,No,
1,2018-05-01,0.8923,1.845,7786311,0.719,119004.0,High,No,
1,2018-06-01,0.8895,1.738,8041346,0.7301,119004.0,High,No,
